屬性,品種,性別,體型,顏色,年紀,結紮,疫苗,地點,網址
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺北市動物之家 ,"('<72651>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/eeac371d-4fca-4aae-8ea6-c0f67056278f_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：黃虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市中和區公立動物之家 ,"('<72652>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/4de0a06b-fc8b-4eac-8031-7b27f623916f_org.JPG')"
屬性: 狗,品種：哈士奇,性別： 公,體型： MEDIUM,顏色：灰色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 屏東縣公立犬貓中途之家 ,"('<72653>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/f4ea4245-a5ef-4ced-a2ab-88fba9c4b4e4_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： SMALL,顏色：黑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72654>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/eb181855-0272-4801-ad79-f0d6637d4ad7_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 金門縣動物收容中心 ,"('<72655>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/da2abd35-94d0-408e-835d-78cae9a5c909_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 金門縣動物收容中心 ,"('<72656>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/4dcc8349-7bbd-4a4c-8242-3005f3ed5bad_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：黑虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72657>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/ec09cbca-36b2-41de-b800-a6e79b6428d2_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：黑虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72658>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/4a18cc14-675c-4fa5-bd81-0d7945008e96_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 金門縣動物收容中心 ,"('<72659>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/45fa7edf-82e3-4a8e-8a49-d4b8003b95b0_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：黑虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72660>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/23c7ba2d-1007-463e-aeef-6ccb41d7340d_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 金門縣動物收容中心 ,"('<72661>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/ed4fcd89-7020-43cb-bcbf-1186973d67a6_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：黑虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72662>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/c38e7e34-5b58-48da-ac13-9c8f866befa5_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 金門縣動物收容中心 ,"('<72663>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/78127f5b-7688-49bc-8a96-1fcf3cab0729_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：黑虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72664>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/13a530f2-3117-443e-ae18-5050680f873b_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：虎斑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 花蓮縣狗貓躍動園區 ,"('<72665>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/0ea7c08d-1405-47ab-b659-ce169704b524_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：棕白色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 花蓮縣狗貓躍動園區 ,"('<72666>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/f3f9f0ae-024c-4263-bfa4-79d7f947781a_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72667>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/5357fac7-e393-455a-8258-ba00c37c62e4_org.JPG')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72668>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/0dbf5b9a-45ef-4c57-8f01-ce3ba802aa28_org.JPG')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72669>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/9a6b1124-c457-4747-ab72-68dc86b0621b_org.JPG')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72670>', 'https://asms.coa.gov.tw/AmlApp/images/defaultSmall.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市板橋區公立動物之家 ,"('<72671>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/2d086d47-765e-4ab3-838f-6548c4650371_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 宜蘭縣流浪動物中途之家 ,"('<72672>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/ae065c67-d096-403b-b65f-19283005e2b0_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 宜蘭縣流浪動物中途之家 ,"('<72673>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/fa263237-6b0b-44d0-a7ba-450794a6a463_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：黑棕色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 宜蘭縣流浪動物中途之家 ,"('<72674>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/63fe2fa7-d89b-47e2-8dd7-beaeb887005f_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： BIG,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 宜蘭縣流浪動物中途之家 ,"('<72675>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/fd0b35ca-2b7c-49b1-9609-27db00ea3bc8_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 苗栗縣生態保育教育中心(動物收容所) ,"('<72676>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/26b1b8a1-d82c-45b4-a263-1c0ca14b0e0c_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 澎湖縣流浪動物收容中心 ,"('<72677>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/9f5e1f48-74a8-4925-ae4d-81ad015af072_org.jpeg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 澎湖縣流浪動物收容中心 ,"('<72678>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/69cc9030-f779-4b9c-a3d2-e28fbe2c16d2_org.jpeg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 澎湖縣流浪動物收容中心 ,"('<72679>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/e02621a5-116b-42ba-b62a-beaa8e05925d_org.jpeg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 澎湖縣流浪動物收容中心 ,"('<72680>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/bd53be9e-2d6e-45fb-bd63-6145b9e0521d_org.jpeg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 澎湖縣流浪動物收容中心 ,"('<72681>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/e5f4cb87-a830-4edb-a0db-048f81086007_org.jpeg')"
屬性: 貓,品種：混種貓,性別： 公,體型： BIG,顏色：黑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 澎湖縣流浪動物收容中心 ,"('<72682>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/2e06c638-7d08-43f2-a24e-27845a71e108_org.jpeg')"
屬性: 狗,品種：混種狗,性別： 公,體型： SMALL,顏色：咖啡色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72683>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/1957201e-eb8c-41ac-8807-2375285fb704_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：花色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市燕巢動物保護關愛園區 ,"('<72684>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/747471cd-a72e-4edb-979d-d8d4a078ffa0_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市燕巢動物保護關愛園區 ,"('<72685>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/29238b5d-8641-4ecd-a879-73f692fdbd99_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： SMALL,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 宜蘭縣流浪動物中途之家 ,"('<72686>', 'https://asms.coa.gov.tw/AmlApp/images/defaultSmall.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： SMALL,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 宜蘭縣流浪動物中途之家 ,"('<72687>', 'https://asms.coa.gov.tw/AmlApp/images/defaultSmall.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： SMALL,顏色：棕色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 宜蘭縣流浪動物中途之家 ,"('<72688>', 'https://asms.coa.gov.tw/AmlApp/images/defaultSmall.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 宜蘭縣流浪動物中途之家 ,"('<72689>', 'https://asms.coa.gov.tw/AmlApp/images/defaultSmall.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72690>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/0812adcd-133e-474f-87bb-1ef59b981fdd_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72691>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/9b410fcd-3a91-4bef-bb6a-8e9f209dd30b_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：黑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72692>', 'https://asms.coa.gov.tw/AmlApp/images/defaultSmall.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72693>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/9e9c732c-fe20-4fe5-85a2-4c74d2008ca1_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：黑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72694>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/980cfcec-97f9-46f3-8aee-c96dfbb64e97_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： SMALL,顏色：黑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72695>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/7fe60052-5ad0-4264-aced-73ed9aa1d731_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： SMALL,顏色：灰色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72696>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/e244c585-2a34-4658-a683-4fec116ea5ed_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72697>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/25dc560f-14b0-4fdd-96a1-4180d9f57ba1_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：花色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72698>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/eab8bc97-a483-4e54-8ca2-f48834044f32_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：棕色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72699>', 'https://asms.coa.gov.tw/AmlApp/images/defaultSmall.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺北市動物之家 ,"('<72700>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/ff464987-c45c-4105-b445-fc4fec54b16f_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：黃虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺北市動物之家 ,"('<72701>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/5c62150d-140c-48e8-9710-b45306bfce0a_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市燕巢動物保護關愛園區 ,"('<72702>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/3ff4d5ff-4129-4071-9d98-7bc6158172af_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市五股區公立動物之家 ,"('<72703>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/b357fd0f-070e-4c1b-9787-28c336fed6a5_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：花色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市燕巢動物保護關愛園區 ,"('<72704>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/7155c23f-80a1-491c-a242-c60f6c181b14_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：花色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市燕巢動物保護關愛園區 ,"('<72705>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/9426cf68-3e37-4200-90c8-d60d0cbd6d73_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：黃白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新竹市動物保護教育園區 ,"('<72706>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/59d4e009-5081-4fe4-8984-5c333c8678c3_org.JPG')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 彰化縣流浪狗中途之家 ,"('<72707>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/ae5d4ffb-6f37-43d6-8cfb-e58e7cbe078f_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：咖啡色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新竹市動物保護教育園區 ,"('<72708>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/541f718b-69b0-421d-b450-3796231a4345_org.JPG')"
屬性: 狗,品種：混種狗,性別： 公,體型： BIG,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市燕巢動物保護關愛園區 ,"('<72709>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/4db6e5b3-0d34-4f00-8d9e-7eb9827afbae_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：棕色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺東縣動物收容中心 ,"('<72710>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/b6b6f109-1c1b-466a-b582-4a45702129ec_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺東縣動物收容中心 ,"('<72711>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/6a0fd588-eb42-44ab-8a69-b04dac4f7561_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：三花色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺北市動物之家 ,"('<72712>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/6ff03d22-1e46-4d34-b5a3-0c436fa436da_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 彰化縣流浪狗中途之家 ,"('<72713>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/abb43599-125f-4f22-92c5-131de2c32136_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 彰化縣流浪狗中途之家 ,"('<72714>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/2fd95af0-ae50-49cb-953f-d0dbb6be1fc7_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： BIG,顏色：黑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 宜蘭縣流浪動物中途之家 ,"('<72715>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/83e0c1ef-e35a-4ca0-8471-2a59f2ecb874_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： SMALL,顏色：花色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72716>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/a2057ee3-af6d-4185-a40e-8412c33086cb_org.JPG')"
屬性: 狗,品種：混種狗,性別： 公,體型： SMALL,顏色：花色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72717>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/c68d001d-a20d-4b6c-9931-f13f07f496f9_org.JPG')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72718>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/5178d721-4c36-44fd-b4df-58d06c22de59_org.JPG')"
屬性: 狗,品種：混種狗,性別： 公,體型： BIG,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72719>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/a6f1fceb-9f49-489b-8ed4-65830037b2e6_org.JPG')"
屬性: 貓,品種：混種貓,性別： 母,體型： BIG,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72720>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/edcc877f-7e08-4663-9683-6365b46bc2e2_org.JPG')"
屬性: 貓,品種：混種貓,性別： 母,體型： BIG,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72721>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/88e2f4e5-8624-496b-8ead-bdf8634cc565_org.JPG')"
屬性: 貓,品種：混種貓,性別： 母,體型： BIG,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72722>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/9d812b64-d1ec-403e-9c04-7180f6059a98_org.JPG')"
屬性: 貓,品種：混種貓,性別： 母,體型： BIG,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72723>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/2048c58d-9c4f-4b84-94de-8987e033e8c3_org.JPG')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：花色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72724>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/3ad59999-cd25-4f8c-80f2-5e51fbf37d2e_org.JPG')"
屬性: 貓,品種：未提供,性別： 公,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺東縣動物收容中心 ,"('<72724>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/3ad59999-cd25-4f8c-80f2-5e51fbf37d2e_org.JPG')"
屬性: 狗,品種：混種狗,性別： 公,體型： SMALL,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72726>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/fbba1543-2f55-4c2d-a383-f6cd99b1a50b_org.JPG')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72727>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/57133aa4-ca1c-444b-9ae5-ca62527b65a1_org.JPG')"
屬性: 貓,品種：未提供,性別： 公,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺東縣動物收容中心 ,"('<72727>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/57133aa4-ca1c-444b-9ae5-ca62527b65a1_org.JPG')"
屬性: 貓,品種：未提供,性別： 母,體型： SMALL,顏色：黑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺東縣動物收容中心 ,"('<72727>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/57133aa4-ca1c-444b-9ae5-ca62527b65a1_org.JPG')"
屬性: 狗,品種：混種狗,性別： 公,體型： BIG,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72730>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/2c689453-98e3-4053-b681-7b3da46648d3_org.JPG')"
屬性: 狗,品種：混種狗,性別： 公,體型： BIG,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72731>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/0382eabc-8806-4ffe-84a3-25528a86a374_org.JPG')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72732>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/540bad5c-ced0-4f69-a1a2-517ee8ddb4c5_org.JPG')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72733>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/d9117b27-38d3-4757-ba19-4be3af236c47_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：黑虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72734>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/361df9d0-3c31-45ef-9d50-ec736d668097_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72735>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/5cc0bb77-5193-4a52-90b2-5d5265a05151_org.JPG')"
